,Date,Open,High,Low,Close,Adj Close,Volume,logr,sr
count,252,252.0,252.0,252.0,252.0,252.0,252.0,251.0,251.0
mean,2010-06-16 14:17:08.571428608,3772.9778897738097,3939.4208204444444,3604.1150381904768,3801.1566685158737,3801.1566685158737,42463165238.09524,0.004721310022845787,0.0068175857989169
min,2000-01-01 00:00:00,1180.26001,1347.27002,1108.48999,1172.060059,1172.060059,24374040000.0,-0.26008796342206963,-0.2290162355495706
25%,2005-03-24 06:00:00,2110.53497325,2191.36004675,2023.952515,2110.17749,2110.17749,36351987500.0,-0.021778902459360427,-0.021543423560318995
50%,2010-06-16 00:00:00,2744.5900874999998,2834.964966,2576.9250485000002,2728.9399415,2728.9399415,40025100000.0,0.012607418156376227,0.012687226693193259
75%,2015-09-08 12:00:00,4855.502319499999,5055.527588,4615.78491225,4911.0148927499995,4911.0148927499995,44430770000.0,0.04198391462307649,0.04287771560228666
max,2020-12-01 00:00:00,12313.360352,12973.330078,12214.740234,12888.280273,12888.280273,111707090000.0,0.17558841600788888,0.1919473712206168
std,NaN,2330.8604453579965,2453.8842151424114,2259.121268631597,2393.4021478386503,2393.4021478386503,11602055312.169725,0.065061359425471,0.06400539704955478
skew,NaN,1.3536013028657328,1.4207480259326462,1.360610324218004,1.4044060724887382,1.4044060724887382,3.3031994530553557,-0.7955228054769021,-0.4878850188376394
kurt,NaN,1.261181193983841,1.506759877969679,1.298910593216462,1.485176585507305,1.485176585507305,13.973557274447888,1.900282529031311,1.281600838908573
